FID	IID	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25
BLSA	745	0.389236113	0.015692614	0.469861198	1.344453005	0.026311194	0.229602812	0.375411655	-0.301295232	0.01387474	-0.353477691	0.199676118	0.025413874	0.660959739	0.150803102	1.247485109	0.935654439	-0.915226007	-0.119625153	-0.50245498	0.495860918	0.058201722	-0.706073903	0.357026753	0.217533535	-0.117021804
BLSA	827	-0.220120203	0.695551453	0.173195827	0.110201108	-0.088462823	0.154727055	0.086432083	-0.597533941	-0.284235408	-0.292163212	0.883686513	-0.010970997	0.851417373	0.347134975	1.022286007	0.816861889	-1.243540566	-0.522096029	-0.118864011	0.278360152	-0.401772451	-0.795935802	0.533577191	-0.01321632	-0.208115329
BLSA	1556	0.168123744	-0.266996912	-0.039203056	0.049598964	0.778947221	-0.080911236	0.365445582	0.257943444	0.597829969	-0.195761556	-0.449148053	0.23769556	-0.416941462	0.574967794	0.032872578	-0.243064562	-0.436264643	-0.267008188	0.032864777	0.153113368	-0.014702619	-0.047361353	-0.05780819	0.055584069	0.483595959
BLSA	1579	-0.324529018	0.164072083	-0.227490727	0.064272659	0.350919498	-0.180784954	-0.227886131	-0.265517801	0.091763859	0.322989901	-0.3313665	-0.117037676	-0.113744431	0.072834087	0.285472969	-0.150972526	-0.255377228	0.042131485	0.022176546	-0.183922259	0.082896583	0.457825864	0.003837529	0.166035074	0.428069644
BLSA	1595	-0.749805898	0.291034104	0.825418832	-0.367389074	-2.011380203	-0.270611385	-0.001549675	-0.42274311	0.501738013	-0.241596498	0.159842989	0.488973283	1.109760212	-0.381176485	-0.541527655	0.240870372	1.438990429	0.015224724	-0.289530221	0.230971042	0.224706626	-0.894168363	-0.246932893	0.515991724	0.130805165
BLSA	1603	-0.050168141	0.074180538	-0.123578144	-0.277284663	-0.466614577	-0.261112639	-0.159202023	0.234607514	-0.040207342	0.170595908	0.013485271	-0.009263467	-0.201414352	-0.354460782	-0.394341104	-0.345037212	1.377713252	0.877360429	0.318569788	-0.078240975	-0.008366835	0.559180108	-0.116525277	-0.315837318	-0.217580143
BLSA	1640	0.132667343	-0.152701556	-0.059152122	-0.209613276	0.568223339	-0.071184521	0.105929153	0.089216109	0.322022745	-0.424197132	0.062103027	0.080382597	-0.278704895	0.374672991	-0.080422156	-0.149182396	-0.498035125	-0.280073943	0.124169781	0.013563949	-0.029361645	0.042551	-0.064754192	-0.218584673	0.496687859
BLSA	1775	-0.049505194	-0.471947428	0.093313353	-0.165588423	-0.325510571	0.303696335	0.111858672	-0.621341601	-0.317313396	0.290450089	0.562188881	-0.136411457	0.222107031	-0.280745594	-0.407654753	0.448678753	-0.344897208	-0.096123631	-0.450633207	-0.236553513	-0.394768858	-0.37110545	-0.01982016	0.733892318	-0.722219487
BLSA	1802	0.105837227	-0.451244457	0.02451144	-0.194956141	-0.037408516	-0.037208068	-0.062451641	-0.057920952	-0.297874748	0.728170752	-0.16576936	-0.148169283	-0.227003696	-0.20137281	-0.156788097	-0.329387402	0.780322634	-0.067166252	0.209582546	-0.110448389	-0.259379863	0.542188629	-0.221566879	-0.111342988	0.052869278
BLSA	1805	-0.305232986	0.014012992	-0.194726953	-0.245799206	-0.431902443	-0.178957902	-0.218155973	0.017025597	-0.384639372	0.211536938	-0.312641274	-0.019859886	-0.259012258	-0.102797854	-0.697123325	-0.382845713	1.721934435	0.600615276	0.138227203	-0.172221819	0.048279287	0.536937041	-0.146147785	-0.411985369	-0.04432991
